,SerialNumberContract,Qty,ContractNumber,SerialNumber,is_serialnum
0,We have RPPs that need the breaker settings updated. I have included a picture of the ID tag of one of the RPPs. The work will require plugging in to 12 different panels (6 front and back) to change the breaker set-points.,0,50046000003p5gwAAA,We have RPPs that need the breaker settings updated. I have included a picture of the ID tag of one of the RPPs. The work will require plugging in to 12 different panels (6 front and back) to change the breaker set-points. ,True
1,"Active Alarms: 
Door Open - L12 Outpt Volts high",0,50046000006ZGhjAAG,Active Alarms: Door Open - L12 Outpt Volts high ,True
2,units shipped without the change order items 600A Braided busbar. all units shipped with 400A.,0,50046000007OQ4oAAG,units shipped without the change order items 600A Braided busbar. all units shipped with 400A. ,True
3,"STS # 13 transferred back to UPS-5 on its own. There are no issues other than the fact that the STSís are not in synch with the UPSís if they are transferring on their own. It may be due to the low load but the sooner we get the by-pass completed the les risk we have of experiencing another event

SEE EMAIL THREAD IN ATTACHMENTS",0,50046000007NnGNAA0,STS # 13 transferred back to UPS-5 on its own. There are no issues other than the fact that the STSís are not in synch with the UPSís if they are transferring on their own. It may be due to the low load but the sooner we get the by-pass completed the les risk we have of experiencing another event SEE EMAIL THREAD IN ATTACHMENTS ,True
4,Replace SAS board and monitor in 4 units,0,50046000003oQdFAAU,Replace SAS board and monitor in 4 units ,True
5,retrofit PDUs with no monitoring need to include monitors,0,50046000003oaD8AAI,retrofit PDUs with no monitoring need to include monitors ,True
6,"PB (42) - SPLIT CORE CABLE KITS to JCOMM
ACI
705 Westech Drive
Norcross, GA 30092",0,50046000006YJFXAA4,"PB (42) - SPLIT CORE CABLE KITS to JCOMM ACI 705 Westech Drive Norcross, GA 30092 ",True
7,Tim Joyce from NY Metro was reporting that he had a TX3 alarm that was coming in on an STS that he has fixed multiple times and it keeps coming back after about a week. The unit information is as follows: SN 411-0219 unit 4. Job No. 29121.,0,50046000006XRuoAAG,Tim Joyce from NY Metro was reporting that he had a TX3 alarm that was coming in on an STS that he has fixed multiple times and it keeps coming back after about a week. The unit information is as follows: SN 411-0219 unit 4. Job No. 29121. ,True
8,Install Monitor upgrade on PDU,0,50046000008IxFyAAK,Install Monitor upgrade on PDU ,True
9,PDU set in the data hall. Is there some sort of valance/cover that we can get to cover up the gap between the PDU unit and the raised access floor?,0,50046000006YyroAAC,PDU set in the data hall. Is there some sort of valance/cover that we can get to cover up the gap between the PDU unit and the raised access floor? ,True
10,"PDU communication cards failures
serial loop to TCP/IP gateway configuration",0,50046000006Zz7HAAS,PDU communication cards failures serial loop to TCP/IP gateway configuration ,True
