,Id,Customer_Issue_Summary__c,Customer_Issue__c,Resolution_Summary__c,Resolution__c,component,type,Status,ClosedDate,SerialNumber,SerialNumberContract,Qty,src,flag_validinstall
0,5004600000A2GHqAAN,"customer received the display and installed it.  However, display was not working properly.  
We had a technician troubleshoot over the phone.  it was decided to send a replacement display

site
Upsistemas
Brazil",PCBA - Hardware Issue,"replacement board shipped 6/26
UPS 1z2698840352736805",Hardware/Parts Provided,Display,replace,Closed,7/11/2019 20:07,color,color display,1.0,Product_1__c,False
1,5004600000A2GHqAAN,"customer received the display and installed it.  However, display was not working properly.  
We had a technician troubleshoot over the phone.  it was decided to send a replacement display

site
Upsistemas
Brazil",PCBA - Hardware Issue,"replacement board shipped 6/26
UPS 1z2698840352736805",Hardware/Parts Provided,Display,replace,Closed,7/11/2019 20:07,display,color display,1.0,Product_1__c,False
2,5004600000A2GHqAAN,"customer received the display and installed it.  However, display was not working properly.  
We had a technician troubleshoot over the phone.  it was decided to send a replacement display

site
Upsistemas
Brazil",PCBA - Hardware Issue,"replacement board shipped 6/26
UPS 1z2698840352736805",Hardware/Parts Provided,Display,replace,Closed,7/11/2019 20:07,nan,,0.0,Product_2__c,True
3,5004600000A2GHqAAN,"customer received the display and installed it.  However, display was not working properly.  
We had a technician troubleshoot over the phone.  it was decided to send a replacement display

site
Upsistemas
Brazil",PCBA - Hardware Issue,"replacement board shipped 6/26
UPS 1z2698840352736805",Hardware/Parts Provided,Display,replace,Closed,7/11/2019 20:07,nan,,0.0,Product_3__c,True
4,5004600000A2GHqAAN,"customer received the display and installed it.  However, display was not working properly.  
We had a technician troubleshoot over the phone.  it was decided to send a replacement display

site
Upsistemas
Brazil",PCBA - Hardware Issue,"replacement board shipped 6/26
UPS 1z2698840352736805",Hardware/Parts Provided,Display,replace,Closed,7/11/2019 20:07,nan,,"customer received the display and installed it.  However, display was not working properly.  
We had a technician troubleshoot over the phone.  it was decided to send a replacement display

site
Upsistemas
Brazil",Serial_Date_Lot_Code__c,True
5,50046000002P3KtAAK,"replace 7"" color display for busway that is not working

site
BancorpSouth
2910 West Jackson Street
Tupelo, MS  38801",Installation Request,display replaced,Site Visit,Display,replace,Closed,10/5/2017 22:38,busway,busway,1.0,Product_1__c,False
6,50046000002P3KtAAK,"replace 7"" color display for busway that is not working

site
BancorpSouth
2910 West Jackson Street
Tupelo, MS  38801",Installation Request,display replaced,Site Visit,Display,replace,Closed,10/5/2017 22:38,nan,,0.0,Product_2__c,True
7,50046000002P3KtAAK,"replace 7"" color display for busway that is not working

site
BancorpSouth
2910 West Jackson Street
Tupelo, MS  38801",Installation Request,display replaced,Site Visit,Display,replace,Closed,10/5/2017 22:38,nan,,0.0,Product_3__c,True
8,50046000002P3KtAAK,"replace 7"" color display for busway that is not working

site
BancorpSouth
2910 West Jackson Street
Tupelo, MS  38801",Installation Request,display replaced,Site Visit,Display,replace,Closed,10/5/2017 22:38,nan,,"replace 7"" color display for busway that is not working

site
BancorpSouth
2910 West Jackson Street
Tupelo, MS  38801",Serial_Date_Lot_Code__c,True
9,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,False
10,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,nan,,0.0,Product_2__c,True
11,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,nan,,0.0,Product_3__c,True
12,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,nan,,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Serial_Date_Lot_Code__c,True
