,SerialNumber
0,We have RPPs that need the breaker settings updated. I have included a picture of the ID tag of one of the RPPs. The work will require plugging in to 12 different panels (6 front and back) to change the breaker set-points. 
1,Active Alarms: Door Open - L12 Outpt Volts high 
2,units shipped without the change order items 600A Braided busbar. all units shipped with 400A. 
3,STS # 13 transferred back to UPS-5 on its own. There are no issues other than the fact that the STSís are not in synch with the UPSís if they are transferring on their own. It may be due to the low load but the sooner we get the by-pass completed the les risk we have of experiencing another event SEE EMAIL THREAD IN ATTACHMENTS 
4,Replace SAS board and monitor in 4 units 
5,retrofit PDUs with no monitoring need to include monitors 
6,"PB (42) - SPLIT CORE CABLE KITS to JCOMM ACI 705 Westech Drive Norcross, GA 30092 "
7,Tim Joyce from NY Metro was reporting that he had a TX3 alarm that was coming in on an STS that he has fixed multiple times and it keeps coming back after about a week. The unit information is as follows: SN 411-0219 unit 4. Job No. 29121. 
8,Install Monitor upgrade on PDU 
9,PDU set in the data hall. Is there some sort of valance/cover that we can get to cover up the gap between the PDU unit and the raised access floor? 
10,PDU communication cards failures serial loop to TCP/IP gateway configuration 
11,"Time: 11PM Scope: To perform PM on (1) STS QTY- 1 STS/PDU PRIMARY SYSTEM - SERIAL# 440-0036 Site Address: BB&T 2501 Wooten Blvd Wilson, NC 27893 Site Contact: Danny M. Vick 252-230-3893 252-246-2731 "
12,"2 STS in the same Modbus chain stopped communicating with BMS, might need to reset Modbus ports. Requesting a tech on-site. site Dell 1404 Park Center Drive Austin, TX 78753 "
13,"Service tech to visit customer sites and survey units that require SNMP upgrade Location: Mountain View, CA and Santa Clara, CA "
14,Scope: To inspect an issue on an older PDU that tripped the breaker; The main breaker tripped with a ground fault indication. When our electrician arrived he did an internal visual inspection and found no apparent problems. The trip settings were noted to be at the most sensitive and instantaneous set points. There were no other equipment issues noted in the building prior to the trip. The breaker was reset and shut with no follow on problems; 10-1938 
15,(1) Technician to Travel to and from site location to Inspect PDU for XMR defect. PDU 110-2598-1-4 
16,WS PDU has comm 1 error alarm; has been present since 2015 
17,- Calibrate QTY (1) PDU - PDU alarm says calibration is needed - SN:110-1957 
18,"Pulse driver boards are overheating site GPX Mumbai, India "
19,need to replace non functioning boards site Reliance Jamnagar 
20,STS Monitor Has Horizontal lines . Needs to be replaced. PCB08845F 
21,To obtain the EC European certification for our product Busway. Within the existing manuals the certification relates to American standards only. Please provide the European certification EC results? 
22,Current reading are incorrect. They would like to have a tech to calibrate PDU Site address National Science Foundation 4201 Wilson blvd Arlington VA 22230 
23,PDU is getting High Line Frequency Alarm. They getting the alarm when they run generator test. They would like to have quote to investigate alarm. DCM Board will needed. Site address Harrisburg PA 
24,"issue: Spoke with customer and one switch has red led's on the output and on the other monitor positions such as transformer temp. Customer is not sure if he has output but no alarms on equipment downstream. Monitor IO board may need to be reset. site CenturyLink (Qwest) 1201 Farnam, 5th floor Omaha NE 68102 "
25,"PM on 2 PDUs Serial number 110-1907-1-2 Site: 401 Elliott Avenue West Seattle, WA 98119 Contact: Kiel Anderson 206-200-7417 "
26,"Time: 8PM Scope: To inspect and repair (2) STSs; 420-0057; STS 3 and STS 4 units STS 3 has an issue were it will not transfer from Source 1 to Source 2 (No alarms) after selecting source. Sometimes it will attempt to transfer but it will stay latched on the other source. STS 4 ñ The source selector switch assembly keeps turning when you try to select a source. Parts shipped to site for your use Site address: HP 1855 MINNESOTA DR MISSISSAUGA, ON Contact: IAN MAULE 647-448-4955 "
27,"Time: 8PM Scope: They are experiencing comms losses to the BMS in our new data hall on 1 end feed and 2 TOBs There is a high current issue on the box as well as an end feed that will not communicate with the accumulator application when I try to access it on our computer via USB. Site Address: Fidelity 7133 Louis Stephens Drive Morrisville, NC 27560 Site Contact: Tim Frank 919-619-9993 "
28,SAS TX 2 down alarm 
29,"Customer Number: 002033 Shipping Number: 042155 London Demo Elstree office. Found short supplies as per details below. 1. Communication Cable - Description is 18 feet, we received less than 2 feet 2. 2, 8 x 3/8"" rods, we have not received any rods. 3, Retrofit BCMS Busway. New door with hinges. No additional extended screw to closed-door. When sending out a new door in place of an Endfeeder. Removing the eight screws requires an additional extended screw to allow the retrofit door to be securely fastened. Not supplied with the kit. Check why the mistake occurs (happens too often in almost every shipment internal and external) and please send the short supplies to us ASAP. "
30,Scope: To inspect (2) M2 PDUs; 10-1938-1-2; to check out two (2) PDI PDU units with M2 monitor for Ground Fault; One of the units has a Loss of Phase and Ground Fault indicated. The ground fault has been long-standing but the phase loss came in last weekend when the building took a brief power loss. I had an electrician verify all 3 phases had power. 
31,"Time: 10AM-1AM; Need two techs to support window Joe Kresse - 10AM-5:30PM Obin Bou - 5:30PM-1AM Site Address: 90 Ivy Brook Rd Shelton, CT 06484 Site Contact: Mark Charette Office: 203-751-8140 Cell: 203-450-0075 Scope: To perform stand by and PM on (12/24) PDUs over two weekends; Parts on site as needed to make any repairs "
32,"Scope: Wavestar Color Touch Screen Upgrade: QTY (1) PCA16209 (Color Screen) QTY(1) PCB11555 (Wavestar Data Acquisition Card) **Includes all wires, sheet metal, and material required to complete upgrade** SN:110-2532 SO23899 "
33,a PDU unit that we just started up that the display is no longer working; 110-4161 
