Index,PartNumber_TLN_BOM,PartNumber_BOM_BOM,Match,Component,Description,End of Prod,Status,Life__Years,EOSL,flag_raise_in_gp,Remark
-2,PDU,,contains,PDU,,,Active,40,,TRUE,
-1,RPP,,contains,PDU,,,Active,30,,TRUE,
0,STS,,contains,PDU,,,Active,30,,TRUE,
1,110,,begins_with,PDU,"Power Pak 1, 50 - 300kVA",,Active,40,,TRUE,
2,111,,begins_with,PDU,"Power Pak 2, 100 to 400kVA",,Active,40,,TRUE,
3,113,,begins_with,PDU,"PowerHub 2, 400 - 1250kVA",,Active,40,,TRUE,
4,117,,begins_with,PDU,PDU Special,,Active,40,,TRUE,
5,118,,begins_with,PDU,Power Safe 300 - 625kVA,,Active,40,,TRUE,
6,119,,begins_with,PDU,PDU Special,,Active,40,,TRUE,
7,98-904,,begins_with,PDU,Server PDU 50-150kVA,2013,Obsoleted,40,,TRUE,
8,98-905,,begins_with,PDU,,,Obsoleted,40,,TRUE,
9,,PDU,contains,PDU,,,Active,40,,TRUE,
10,120,,begins_with,RPP,"FS RPP 24"" and 38""W",,Active,30,,TRUE,
11,121,,begins_with,RPP,"FS RPP 24"" and 38""W",,Active,30,,TRUE,
12,122,,begins_with,RPP,MC RPP,,Active,30,,TRUE,
13,126,,begins_with,RPP,"FS RPP 24"" and 38""W Special ",,Active,30,,TRUE,
14,127,,begins_with,RPP,"FS RPP 24"" and 38""W Special ",,Active,30,,TRUE,
15,152,,begins_with,RPP,Special RPP META,,Active,30,,TRUE,
16,98-10500,,begins_with,RPP,Server Line,2016,Obsoleted,30,,TRUE,
17,98-11000,,begins_with,RPP,Special RPP META,,Active,30,,TRUE,
18,98-11200,,begins_with,RPP,Server Rack,,Active,30,,TRUE,
19,,RPP,contains,RPP,,,,30,,TRUE,
20,140,,begins_with,STS,STS Legacy 150 - 1600A,,Active,30,,TRUE,
21,141,,begins_with,STS,STS Legacy 150 - 1600A,,Active,30,,TRUE,
22,142,,begins_with,STS,STS Legacy 150 - 1600A,,Active,30,,TRUE,
23,143,,begins_with,STS,STS Legacy 150 - 1600A,,Active,30,,TRUE,
24,144,,begins_with,STS,STS TFA 250 - 1200A,,Active,30,,TRUE,
25,,STS,contains,STS,,,,30,,TRUE,
26,,PCB11556,exact,Display,Monochrome Display,2013,Obsoleted,,2022,TRUE,
27,,PCA16209,exact,Display,Color Display,,Active,8,,TRUE,
28,,PCB11555,exact,Display,M4G Display (ETL M4G),,Obsoleted,,2022,TRUE,
29,,PCB15632,exact,Display,M4G Display (UL M4G),,Obsoleted,,2022,TRUE,
30,,PCB08212,exact,Display,8212 Display,,Obsoleted,,2022,TRUE,
31,,PCB57701,exact,Display,M4 Display,,Obsoleted,,2022,TRUE,
32,,PCB9507,exact,Display,M4 Display,,Obsoleted,,2022,TRUE,
33,,PCB0047,exact,Display,M4 Display,,Obsoleted,,2022,TRUE,
34,,PBA74159,exact,BCMS,ETL BCMS,,Active,8,,TRUE,
35,,PCB11734,exact,BCMS,UL BCMS,,Active,8,,TRUE,
36,,CKB0262,exact,Circuit Breaker,"3P,PD3,600A,65KA@480V,MCSW,NO LUG  ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
37,,CKB0419,exact,Circuit Breaker,"3P,PD4,800A,65K@480V,MCSW          ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
38,,CKB04524,exact,Circuit Breaker,SBR 250A 5 BREAKER ASSEMBLY        ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
39,,CKB04591,exact,Circuit Breaker,"250A MCSW,2NO 2NC AUX, 24VDC       ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
40,,CKB04866,exact,Circuit Breaker,DISCONNECT ASSY. MCSW 400 AMP SBR  ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
41,,CKB05069,exact,Circuit Breaker,"MOD,6 MCSW,400A,65KAIC,DOC A05069A1",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
42,,CKB05338,exact,Circuit Breaker,"DISCONNECT ASSY,625 SBR            ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
43,,CKB05339,exact,Circuit Breaker,"DISCONNECT ASSY,400 SBR            ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
44,,CKB06007,exact,Circuit Breaker,400A SBR ASSY 6 MCSW ROT HAND      ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
45,,CKB06012,exact,Circuit Breaker,"800A CKB ASSY, ABB, SBR, 4CKB 1MCSW",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
46,,CKB06013,exact,Circuit Breaker,"250A CKB ASSY, ABB, SBR, 4CKB 2MCSW",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
47,,CKB06126,exact,Circuit Breaker,"250A CKB ASSY, ABB, SBR, 6MCSW     ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
48,,CKB06172,exact,Circuit Breaker,"ABB,800A,MCSW,W/ST,AUX&MOTOR OP CON",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
49,,CKB06211,exact,Circuit Breaker,"600A CKB ASSY, SBR, 6 MCSW         ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
50,,CKB06224,exact,Circuit Breaker,"250A CKB ASSY, ABB, SBR, 5 MCSW    ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
51,,CKB06276,exact,Circuit Breaker,"MCSW, ABB S4, 250A W/ST            ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
52,,CKB06325,exact,Circuit Breaker,"ABB, 1000A MCSW W/ ST & AUX        ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
53,,CKB06333,exact,Circuit Breaker,"600A CKB ASSY, SBR, 5 MCSW         ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
54,,CKB06383,exact,Circuit Breaker,"1000A CKB ASSY, ABB, SBR,4CKB 1MCSW",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
55,,CKB06714,exact,Circuit Breaker,"M.G.-NJHN 600A MCSW, 65KAIC,120VST ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
56,,CKB06715,exact,Circuit Breaker,"M.G.-NJHN 600A MCSW, 65KAIC,W/ AUX ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
57,,CKB06881,exact,Circuit Breaker,"250A,3P,100k/480V,SQD,MCS,Lugs",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
58,,CKB06889,exact,Circuit Breaker,"800A CKB ASSY. SBR,(6) MCSW,LESS CB",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
59,,CKB07388,exact,Circuit Breaker,"M.G.-NJHN 600A MCSW, 65KAIC, AUX/ST",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
60,,CKB07408,exact,Circuit Breaker,ABB-400A 4 POLE PLUG-IN MCSW       ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
61,,CKB07409,exact,Circuit Breaker,ABB-250A 3 POLE PLUG-IN MCSW       ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
62,,CKB07609,exact,Circuit Breaker,"1200 AMP MCSW P-FRAME PROVISIONS,  ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
63,,CKB07613,exact,Circuit Breaker,1200 AMP CRADLE W/BACKMOLD         ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
64,,CKB07739,exact,Circuit Breaker,"MCSW,4POLE,250A,100%RATED,65KAICAUX",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
65,,CKB07768,exact,Circuit Breaker,"M.G.-NJHN 400A MCSW, 65 KAIC,AUX/ST",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
66,,CKB07769,exact,Circuit Breaker,"M.G.-NJHN 400A MCSW, 65 KAIC, AUX  ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
67,,CKB07831,exact,Circuit Breaker,"ABB-800A MCSW W/AUX, 4 POLE        ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
68,,CKB07862,exact,Circuit Breaker,GE MCSW 250A Frame                 ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
69,,CKB08180,exact,Circuit Breaker,"1200A,25k/600V,SQD,80%,DRAWOUT",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
70,,CKB08183,exact,Circuit Breaker,"CRADLE,3P,SQD,250-1200A,600V",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
71,,CKB08430,exact,Circuit Breaker,"MG-NJHL 600A MCSW, 65KAIC, AUX/ST  ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
72,,CKB09047,exact,Circuit Breaker,"MG,MCSW,150A,65K@480V,120VST,      ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
73,,CKB09252,exact,Circuit Breaker,"250A,3P,100k/480V,SQD,MCS,PLGN",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
74,,CKB09253,exact,Circuit Breaker,"M.G.-NJHN 400A MCSW, 65 KAIC,AUX/ST",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
75,,CKB09254,exact,Circuit Breaker,"M.G.-NJHN 600A MCSW, 65KAIC, AUX/ST",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
76,,CKB09788,exact,Circuit Breaker,"M.G.-NJHL 400A MCSW,3P,480V,65KAIC ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
77,,CKB10407,exact,Circuit Breaker,MG 3P 400A MLDED CSE SWITCH W/BASE ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
78,,CKB11195,exact,Circuit Breaker,"SQD-DJL,3P,400A,600V,65KA,MCS,120V ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
79,,CKB11526,exact,Circuit Breaker,"M.G.NJHN 600A MCSW,65KAIC,2A/2B AUX",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
80,,CKB11529,exact,Circuit Breaker,"M.G.NJHN 600A MCSW,65KAIC,24VST,AUX",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
81,,CKB11650,exact,Circuit Breaker,"GE-SGDA,3P,400AF,600V, MCS         ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
82,,CKB12021,exact,Circuit Breaker,"ABB, T3, 225A,  MCSW, 35k @ 480V   ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
83,,CKB12135,exact,Circuit Breaker,"ABB T5,600A MCSW, 65K @ 480 VOLT   ",,Obsoleted,14,,FALSE,Ref sheet ( MCSW Tola) overal with abb
84,,CKB12225,exact,Circuit Breaker,"ABB-T5,3P,400A,600V,65KAIC,MCSW    ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
85,,CKB12247,exact,Circuit Breaker,"SQD-DJN,3P,400A MCSW,AUX/24v SHUNT ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
86,,CKB12248,exact,Circuit Breaker,"SQD-DJN, 400A, 3P, MCSW, W/AUX     ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
87,,CKB12249,exact,Circuit Breaker,"SQD-DJN,600A,3P,MCSW,AUX/24v SHUNT ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
