,Id,Customer_Issue_Summary__c,Customer_Issue__c,Resolution_Summary__c,Resolution__c,component,type,Status,ClosedDate,SerialNumberOrg,SerialNumberContract,Qty,src,SerialNumber,flag_validinstall
57,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,540-0782-1,False
58,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,540-0782-2,False
59,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,540-0782-3,False
60,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,540-0782-4,False
61,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,540-0782-5,False
62,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,540-0782-6,False
63,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,540-0782-7,False
64,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,540-0782-8,False
65,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,540-0782-9,False
66,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,540-0782-1-10,540-0782-1-10,10.0,Product_1__c,540-0782-10,False
